BP Number,Priority,Description,Network Type(s),Industry Role(s),Keywords,Public Safety and Disaster,Reference,cable,internet/Data,satellite,wireless,wireline,Service Provider,Network Operator,"Priority (1,2,3)",Equipment Supplier,Property Manager,Government,Public Safety
12-10-0463,Important,Network Operators and Service Providers should consider establishing agreements so that mobile customers can roam on other providers' networks.,Wireless;,Service Provider; Network Operator;,Emergency Preparedness; Industry Cooperation; Network Interoperability;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE
12-10-0464,Important,Network Operators and Government should cooperate on zoning issues that affect reliability of communication networks serving the public good.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Government;,Essential Services; Liaison; Power;,FALSE,"Examples: noise from emergency backup power generators, aesthetics of tower placement, public safety and health concerns.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
12-10-0465,Important,"Network Operators and Public Safety should account for the effects of environmental changes on attenuation, shadowing, and multipath (e.g., new buildings, tree growth, construction materials) during initial design and through periodic reviews of cell site coverage.",Wireless;,Network Operator;,Network Operations;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE
12-10-0466,Highly Important,Network Operators should take into account link budget impacts due to propagation differences between various frequencies when planning network coverage.,Wireless;,Network Operator;,Network Design;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0467,Important,"Network Operators should give consideration to the degree of balance between RF (Radio Frequency) channels on uplinks and downlinks, for both control and traffic for air interface reliability.",Wireless;,Network Operator;,Network Design;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE
12-10-0469,Important,"Network Operators and Property Managers should consider the use of cable support (e.g., H-Frames, Ice Bridges) in tower and shelter designs.",Cable; Internet/Data; Wireless; Wireline;,Network Operator; Property Manager;,Buildings;,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
12-10-0470,Important,"Network Operators and Property Managers should consider tower and antenna designs that do not attract bird and animal nesting (e.g., no platforms, flush mounted panels, smooth radome).",Cable; Internet/Data; Wireless; Wireline;,Network Operator; Property Manager;,Buildings;,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
12-10-0471,Important,"Network Operators, Property Managers, and Public Safety should consider remote, electronic antenna aiming and utilize tower-mounted equipment that minimizes the need for tower top maintenance where conditions prevent climbs (e.g., osprey nest, weather conditions).",Wireless;,Network Operator; Public Safety; Property Manager;,Network Operations;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE
12-10-0472,Important,"Network Operators, Public Safety, and Equipment Suppliers should consider connector choices and color coding to prevent inappropriate combinations of cables.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Equipment Supplier; Public Safety;,Hardware; Network Elements;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,TRUE
12-10-0473,Highly Important,"Network Operators, Property Managers, and Public Safety should consider maintaining a list of authorized climbers and a log of authorized tower climbs.",Wireless;,Network Operator; Public Safety; Property Manager;,Access Control; Human Resources; Physical Security Management;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0474,Important,"Network Operators, Property Managers, and Public Safety should periodically perform grounds maintenance at cell site facilities (e.g., pest control, mow grass, fence maintenance, snow removal).",Wireless;,Network Operator; Public Safety; Property Manager;,Buildings;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE
12-10-0475,Highly Important,"Network Operators, Property Managers, and Public Safety should have agreements in place to ensure necessary and timely access to cell sites.",Wireless;,Network Operator; Public Safety; Property Manager;,Access Control; Industry Cooperation; Physical Security Management;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0477,Highly Important,"Network Operators and Public Safety should consider the potential of electromagnetic coupling when designing cell sites with high voltage FAA beacons and, if present, take appropriate steps to mitigate the interference (e.g., squelch, physical separation, shielding).",Wireless;,Network Operator; Public Safety;,Network Design;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0478,Important,"Network Operators and Public Safety should allow for deviation in elevation angle and azimuth resulting from deflection of the supporting structure (e.g., sun, load distribution, wind) during the design of a cell site.",Wireless;,Network Operator; Public Safety;,Network Design;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,TRUE
12-10-0480,Highly Important,"Network Operators, Property Managers, and Public Safety should periodically inspect antennas, waveguide, and ancillary hardware to insure physical integrity and the absence of physical movement which can create intermittent and localized intermodulation interference generators (e.g., rusty joints) and/or alter predicted antenna radiation patterns (e.g., antennas swinging around in the
wind) potentially creating interference.",Wireless;,Network Operator; Public Safety; Property Manager;,Hardware; Policy;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0481,Important,"Network Operators, Property Managers, and Public Safety should ensure appropriate spacing between all antennas at a cell site in order to avoid interference, intermodulation, or other detrimental effects.",Wireless;,Network Operator; Public Safety; Property Manager;,Network Design;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,TRUE
12-10-0482,Highly Important,Network Operators and Public Safety should utilize RF propagation and other modeling tools to analyze and optimize designs to avoid interference and improve network performance.,Wireless;,Network Operator; Public Safety;,Network Operations;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0483,Highly Important,"Network Operators and Public Safety should have a master cell site database with configuration parameters, connectivity, and performance statistics that can be used to analyze and audit cell site performance.",Wireless;,Network Operator; Public Safety;,Documentation; Network Operations;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0484,Highly Important,"Network Operators and Public Safety should have a program (e.g., automated drive test equipment, network probes) to monitor and detect network performance anomalies.",Wireless;,Network Operator; Public Safety;,Network Operations; Procedures;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0486,Important,"Network Operators should have an ongoing RF (Radio Frequency) performance improvement process to reduce air interface issues related to blocks, drops, and access failures.",Wireless;,Network Operator;,Network Operations; Procedures;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE
12-10-0487,Highly Important,"Network Operators and Property Managers should have procedures in place to identify and correct degradations in cell site performance resulting from defects in feedlines and antennas (e.g., moisture, vandalism, kinking).",Wireless;,Network Operator; Property Manager;,Industry Cooperation; Network Operations; Procedures;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE
12-10-0488,Important,"Network Operators, Service Providers, and Public Safety should consider registering critical circuits with Telecom Service Priority (TSP).",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Emergency Preparedness; Essential Services; Liaison; Public Safety and Disaster;,TRUE,http://www.dhs.gov/telecommunications- service-priority-tsp    http://transition.fcc.gov/pshs/services/priority- services/tsp.html,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE
12-10-0489,Important,"Network Operators, Service Providers, Equipment Suppliers, and Public Safety should consider provisions in labor contracts to provide for cooperation between union and non-union personnel during disaster recovery situations.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Equipment Supplier; Public Safety;,Emergency Preparedness; Human Resources;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,TRUE
12-10-0490,Important,"Network Operators, Service Providers, and Public Safety should consult NFPA (National Fire Prevention Association) Standards for guidance in the design of fire suppression systems, and, when building code regulations require sprinkler systems, should seek an exemption for the use of non-destructive systems.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Buildings; Fire;,TRUE,"NFPA 75 and 76. When zoning regulations require sprinkler systems, an exemption should be sought for the use of non- destructive systems.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE
12-10-0492,Critical,"Network Operators, Property Managers, and Public Safety should provide back-up power (e.g., some combination of batteries, generator, fuel cells) at cell sites and remote equipment locations, consistent with the site specific constraints, criticality of the site, the expected load and reliability of primary power.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Public Safety; Property Manager;,Buildings; Emergency Preparedness; Power; Public Safety and Disaster;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE
12-10-0493,Critical,"Network Operators, Property Managers, and Public Safety should consider placing fixed power generators at cell sites, where feasible.",Wireless;,Network Operator; Public Safety; Property Manager;,Power;,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE
12-10-0495,Critical,"Network Operators, Property Managers, and Public Safety should consider pre-arranging contact information and access to restoral information with local power companies.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Public Safety; Property Manager;,Emergency Preparedness; Industry Cooperation; Network Operations; Power; Public Safety and Disaster;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3,FALSE,TRUE,FALSE,TRUE
12-10-0496,Highly Important,"Network Operators, Property Managers, and Public Safety should consider storing their portable generators at critical sites that are not otherwise equipped with stationary generators.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Public Safety; Property Manager;,Emergency Preparedness; Power;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0498,Highly Important,"Network Operators, Property Managers, and Public Safety should consider alternative measures for cooling network equipment facilities (e.g., powering HVAC on generator, deploying mobile HVAC units) in the event of a power outage.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Public Safety; Property Manager;,Buildings; Disaster Recovery; Emergency Preparedness; Power;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0501,Important,"Network Operators, Service Providers, and Public Safety should report problems discovered from their operation of network equipment to the Equipment Supplier whose equipment was found to be the cause of problem.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Hardware; Network Elements; Network Operations; Policy; Procedures; Software; Technical Support;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE
12-10-0511,Highly Important,"Network Operators, Service Providers, Equipment Suppliers, and Public Safety should ensure that appropriate operations personnel involved in the direct operation, maintenance, provisioning, security, troubleshooting, repair, and support of network elements are provided periodic training.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Equipment Supplier; Public Safety;,Emergency Preparedness; Essential Services; Network Elements; Network Operations; Procedures; Technical Support; Training and Awareness;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE
12-10-0512,Important,"Network Operators, Service Providers, Property Managers, and Public Safety should perform periodic inspections of fire and water stops where cable ways pass through floors and walls (e.g., sealing compounds).",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety; Property Manager;,Buildings; Fire; Network Operations; Physical Security Management; Procedures;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE
12-10-0514,Highly Important,"Network Operators, Service Providers should  when available, utilize a device management architecture that provides a single interface with access to alarms and monitoring information from all critical network elements.",Cable; Internet/Data; Satellite; Wireless;,Service Provider; Network Operator;,Human Resources; Intrusion Detection; Network Elements; Security Systems;,FALSE,Examples of device management architectures that support multiple platforms are Common Object Request Broker Architecture (CORBA) and Simple Network Management Protocol (SNMP).,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0517,Highly Important,"Equipment Suppliers should design network elements and associated network management elements with the combined capability to dynamically handle peak load and overload conditions gracefully and queue or shed traffic as necessary (e.g., flow control).",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Network Elements; Network Interoperability; Pandemic; Software;,FALSE,"The management of peak load and overload conditions can apply to bearer traffic, signaling traffic, routing and control protocol traffic, network management traffic and messaging, accounting statistics, and flow reporting.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0524,Highly Important,"Network Operators and Service Providers should operate an information-only route database containing the routing advertisement source and cannot be changed by peers, customers, and other users, should be highly secure, and should not affect or impact the actual routing table.",Cable; Internet/Data; Wireless; Wireline;,Service Provider; Network Operator;,Industry Cooperation; Network Interoperability; Network Operations;,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0526,Highly Important,"Network Operators and Service Providers should operate a route registry database of all the routes advertised by their network with the source of that advertisement, with which outside entities can communicate with.",Cable; Internet/Data; Wireless; Wireline;,Service Provider; Network Operator;,Industry Cooperation; Network Interoperability; Network Operations; Network Provisioning;,FALSE,"This database might be used as the source for interface configurations as well as troubleshooting problems. These outside entities may be central, regional, or global in nature.",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0531,Highly Important,"Network Operators, Service Providers, and Public Safety should require staff to use grounding straps when working with equipment where appropriate.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Network Operations; Procedures;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0540,Important,Equipment Suppliers should share countermeasures resulting from analysis of an outage with Network Operators and Public Safety using the same equipment.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier; Public Safety;,Documentation; Industry Cooperation; Network Elements; Technical Support;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,TRUE
12-10-0542,Highly Important,"Equipment Suppliers should include steps to prevent and detect malicious code insertion from Original Equipment Manufacturers (OEMs), contractors, and disgruntled employees.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Corporate Ethics; Network Elements; Software; Supervision;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0546,Critical,"Network Operators, Service Providers, and Public Safety should consider minimizing single points of failure (SPOF) in paths linking network elements deemed critical to the operations of a network.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Cyber Security; Facilities - Transport; Network Provisioning; Public Safety and Disaster;,TRUE,"Note: This Best practice could impact 9-1-1 operations.  With this design, two or more simultaneous failures or errors need to occur at the same time to cause a service interruption.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE
12-10-0547,Highly Important,"Network Operators, Service Providers, and Public Safety should place critical network databases (e.g., directory server, feature server, Service Control Point (SCP)) in a secure environment across distributed locations to provide service assurance (e.g., maintainability, connectivity, security, reliability) consistent with other critical network elements.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Network Elements; Network Provisioning; Public Safety and Disaster;,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0548,Highly Important,"Network Operators, Service Providers, and Public Safety should have an internal post mortem process, which engages Equipment Suppliers and other involved parties as appropriate, to complete root cause analysis of major network events with follow-up implementation of corrective and preventive actions to minimize the probability of recurrence.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Equipment Supplier; Public Safety;,Network Elements; Technical Support;,TRUE,NRSC at http://www.atis.org. Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE
12-10-0552,Highly Important,Equipment Suppliers should perform software fault insertion (including simulating network faults such as massive failures) as a standard part of the development process.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Network Elements; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0553,Highly Important,Equipment Suppliers should perform hardware fault insertion testing (including simulating network faults such as massive failures) as a standard part of the development process.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Hardware; Network Elements; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0554,Important,Equipment Suppliers should converge hardware and software fault recovery design processes early in the development cycle.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Hardware; Network Elements; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
12-10-0557,Highly Important,"Equipment Suppliers should take steps to minimize the possibility of having a silent failure on any system component, especially critical components, throughout the life of the product.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Hardware; Network Elements; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0559,Highly Important,"Network Operators, Service Providers, and Public Safety should consider validating upgrades, new procedures and commands in a lab or other test environment that simulates the target network and load prior to the first application in the field.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Hardware; Network Elements; Procedures; Software;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0561,Important,Equipment Providers should provide timely documentation that is complete and easy-to-use.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Documentation; Network Elements; Procedures;,FALSE,"The operations and maintenance manual should give an overview of the system and identify procedures for regularly scheduled operations, including security administration (ref. GR-815, GR-1332) and should cover methods to recover from total and partial network element outages. In addition, the documentation should be clear on how to manage emergency and unforeseen situations, and include a technical support escalation process.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
12-10-0564,Important,Equipment Suppliers should develop and update training for their products with a clear understanding of customer needs and human factors.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Documentation; Network Elements; Procedures; Training and Awareness;,FALSE,"Advanced training should be developed for personnel responsible for the technical support of various products, including operations supervisors, maintenance engineers, operational support personnel, communications technicians, and security administrators.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
12-10-0565,Important,"Equipment Suppliers should identify key areas and establish and use metrics to measure progress in improving quality, reliability, and security during product development and field life cycle.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Documentation; Network Elements;,FALSE,"This can be done as follows: request and use customer feedback, jointly perform detailed Root Cause Analysis for reported hardware failures, software faults and procedural errors, working together to establish reliability and performance field objectives.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
